receptor,ligand_id
cathepsin_d,cand_4r5s6s7r13dibenzyl56dihydrox_4
cathepsin_d,cand_4r5s6s7r13dibenzyl56dihydrox_5
cathepsin_d,cand_4r5s6s7r47bis34difluoropheny
cathepsin_d,cand_4r5s6s7r47bis4fluorophenylme
cathepsin_d,cand_4r5s6s7r47biscyclohexylmethy
cathepsin_d,cand_4r5s6s7r47dibenzyl13bis3fluo
cathepsin_d,cand_4r5s6s7r47dibenzyl1butyl56di
cathepsin_d,cand_4r5s6s7r47dibenzyl1cyclopent
cathepsin_d,cand_4r5s6s7r47dibenzyl1cycloprop
cathepsin_d,cand_4r5s6s7r47dibenzyl56dihydrox
cathepsin_d,cand_4r5s6s7r47dibenzyl56dihydrox_2
cathepsin_d,cand_4r5s6s7r47dibenzyl56dihydrox_3
cathepsin_d,cand_4r5s6s7r47dibenzyl56dihydrox_4
cathepsin_d,cand_4r5s6s7r47dibenzyl56dihydrox_5
cathepsin_d,cand_4r5s6s7r47dibenzyl56dihydrox_6
cathepsin_d,cand_4r5s6s7r56dihydroxy13bis4hyd
cathepsin_d,cand_4r5s6s7r56dihydroxy13bis4hyd_2
cathepsin_d,cand_4r5s6s7r56dihydroxy13bis4hyd_3
cathepsin_d,cand_4r5s6s7rhexahydro56dihydroxy
cathepsin_d,cand_4thiazolidinecarboxamide_n11
cathepsin_d,cand_52s2ntertbutylcarbamoyl4thio
cathepsin_d,cand_52s43pyridylmethyl2n222trifl
cathepsin_d,cand_5aminon314hydroxy6oxo2phenet
cathepsin_d,cand_5cyanon31235cyano2pyridylsul
cathepsin_d,cand_5cyanon314hydroxy2oxo4a56788
cathepsin_d,cand_5cyanon314hydroxy2oxo62pheny
cathepsin_d,cand_5cyanon314hydroxy2oxo67dihyd
cathepsin_d,cand_5cyanon31s12r4hydroxy6oxo2ph
cathepsin_d,cand_5r6r24bishydroxymethylbenzyl
cathepsin_d,cand_benzamide_334r5r6rdihydro5hy
cathepsin_d,cand_carbamic_acid_1s2r313benzodi
cathepsin_d,cand_carbamic_acid_1s2r313benzodi_2
cathepsin_d,cand_carbamic_acid_1s2r313benzodi_3
cathepsin_d,cand_carbamic_acid_1s2r313benzodi_4
cathepsin_d,cand_carbamic_acid_1s2r313benzodi_5
cathepsin_d,cand_cid_172918925
cathepsin_d,cand_cid_9830191
cathepsin_d,cand_je2147
cathepsin_d,cand_methyl_n1s12s2benzyl2hydroxy
cathepsin_d,cand_methyl_n1s12s2benzyl2hydroxy_2
cathepsin_d,cand_methyl_n1s12s2benzyl2hydroxy_3
cathepsin_d,cand_methyl_n1s12s2benzyl2hydroxy_4
cathepsin_d,cand_n14s22dimethyl13oxazolidin4y
cathepsin_d,cand_n2hydroxy1indanyl52tertiaryb
cathepsin_d,cand_n314hydroxy6oxo2phenethyl2pr
cathepsin_d,cand_n3156dihydro4hydroxy2oxo6phe
cathepsin_d,cand_n3cyclopropyl4hydroxy2oxo567
cathepsin_d,cand_n3cyclopropyl4hydroxy2oxo61p
cathepsin_d,cand_sulfonamidesubstituted_cyclo
cathepsin_d,cand_sulfonamidesubstituted_cyclo_2
cathepsin_d,cand_sulfonamidesubstituted_cyclo_3
cathepsin_d,cand_sulfonamidesubstituted_cyclo_4
